的	d
我	w
是	u
了	l
你	n
在	z
和	h
都	db
不	b
有	y
就	j
也	yt
好	ha
个	g
人	r
说	uo
用	ya
他	t
这	v
来	la
要	yj
去	q
会	hc
看	k
中	vs
想	x
没	m
啊	a
那	nl
吧	ba
给	gc
能	nh
对	dc
上	ug
到	dj
多	do
吗	ma
里	lp
被	bm
做	zi
又	yv
过	gi
让	rg
还	haz
她	ta
打	dd
把	bd
而	e
着	ve
大	dl
从	c
它	tab
写	xv
再	zk
字	zu
得	de
搞	ga
狗	gm
猫	mk
一	yi
真	vf
下	xq
但	dh
叫	jx
很	hh
比	bp
呢	ne
最	zc
更	gf
地	du
地	det
等	djv
吃	i
像	xs
后	hv
时	uoo
只	vp
点	dx
先	xm
话	hq
与	yn
快	kt
玩	wk
当	dhx
已	yp
问	wd
完	wkb
以	ypr
将	jd
您	nm
找	va
爱	au
太	tk
谁	ux
才	ca
年	nz
新	xn
跟	gfz
别	bc
学	xy
哇	wa
按	ab
哎	ai
前	qz
睡	uc
加	jw
所	s
为	wx
为	wm
可	ktd
出	iu
该	gl
向	xsp
却	qr
哦	o
小	xb
天	tm
高	gk
买	ms
呀	yak
刚	gh
事	uu
好	hj
坏	ht
发	f
全	qt
开	kl
万	wh
之	vi
心	xnd
帮	bh
回	hb
得	dr
牛	nw
家	jwb
长	ij
月	yr
卖	mku
岁	sc
成	ih
唉	auk
跑	p
走	zm
早	za
连	lz
滴	di
越	yrz
无	wi
阿	aa
送	sa
分	ff
黑	hz
额	er
妈	man
换	he
们	mf
难	nk
同	td
祝	vy
恩	en
干	gha
算	se
路	ly
并	bt
呗	bz
少	ua
猜	cl
放	fg
擦	caf
转	vyi
错	ci
脸	lx
贴	tx
陪	px
带	dk
笑	xx
敢	glw
谱	po
拿	ns
二	ee
煮	vo
鸡	ji
或	hi
书	uua
每	mc
画	hqa
坐	zit
咯	kd
掉	dxf
讲	jg
梦	mfm
冷	lj
花	hw
于	yb
手	um
咋	zd
哟	yo
爆	bj
站	vh
变	bn
看	kj
哥	ge
版	bl
水	un
起	qp
图	ti
弄	na
住	vyr
啦	lak
够	gv
咩	mx
累	lm
倒	djr
肉	rv
毛	ml
神	ugu
请	qi
拉	laf
肿	vfo
听	ty
内	nma
噢	oo
唱	ig
骂	mlk
装	vd
三	sj
蛮	mki
腿	tn
正	vfa
瘦	uv
卤	lo
俺	az
老	lab
俩	lr
抱	bjf
忙	mj
超	ik
疼	th
胖	pg
喔	wo
车	ie
某	mm
第	duv
教	jc
生	ugn
中	vaa
进	jb
假	jr
差	il
忘	wg
热	rw
选	xyz
啥	us
微	wz
求	qw
若	ri
些	xxe
久	je
苦	ko
米	mp
约	yts
飞	fz
吓	xqk
亲	qn
照	vj
赢	yu
饿	ew
读	diy
秒	mb
信	xbr
另	lt
儿	et
靠	kjf
聊	lv
远	yy
懂	df
羯	jcy
低	dir
呆	dlk
晒	uk
追	vv
见	jn
跳	txz
挂	gq
哪	nd
鸟	nb
呃	ewk
挺	tif
贵	gcb
元	yta
摩	mpm
疯	fgb
张	vhg
萌	mh
头	tnd
活	hp
行	xu
哒	da
次	cu
本	bha
骗	pn
店	dn
考	ka
歌	geq
喂	wmk
强	qf
死	sp
收	ub
贱	jnb
噗	pu
恨	hd
撸	lu
喵	mck
亮	ls
弱	rig
破	pi
哼	hg
拍	pl
躺	tku
抢	qg
吐	to
日	ru
谈	tky
饭	fh
帅	ut
离	low
号	hjk
闹	nj
办	bhl
还	htz
养	yk
红	hds
猪	vu
刷	uw
呐	nlk
姐	jv
洗	xp
种	vah
喝	hek
菜	ck
如	rin
赞	zh
丢	dq
捏	nx
非	fza
粉	fhm
怕	plx
坑	kg
网	wkk
总	zf
曾	ch
爹	dxfd
蛋	dhi
型	xut
咱	zkk
屎	up
纸	vps
杀	uam
自	zup
白	bap
急	jo
催	cv
吖	aak
改	gs
特	tw
包	bk
愿	ye
妹	mmn
唔	wik
受	uvv
抓	vw
钱	qzj
者	vt
喷	pf
鱼	ybd
瞎	xw
此	cp
乱	le
滚	gw
呦	ybk
晚	wl
留	lw
晕	ypo
风	fgj
抽	ib
块	ktt
怪	gt
度	dy
戳	io
往	wkx
便	bnr
楼	ln
党	dkx
咬	yakj
吹	iv
练	lns
删	uj
条	tv
耶	yre
丫	yab
系	xup
君	jp
丑	im
件	jnr
近	jbz
两	lg
雨	yna
力	lug
面	mn
球	qww
重	id
火	hqd
爬	ps
脚	jbo
管	gy
偶	oor
行	hjx
痛	taby
黄	hf
嘴	zn
戴	dkg
情	qu
各	gww
门	mg
卡	kdb
倒	dar
跪	gcz
道	djz
病	btb
边	bmz
搜	sb
短	dyu
混	ho
呵	hekk
指	vpf
翻	fj
词	co
招	vk
尿	nxu
摸	mo
嘤	yyk
撒	sd
毁	hn
顶	did
马	md
喊	hl
由	ynaa
悲	bzx
组	zo
帖	tvj
则	zr
爪	vr
配	pm
乃	nsp
斤	jnp
秀	xph
伤	uh
喽	lb
蓝	lk
及	jon
谢	xz
报	bjfy
因	ynk
泡	pj
未	wme
款	ky
定	dt
深	uf
渣	vad
粗	cum
咔	kak
爸	blf
输	uui
床	if
碗	wlu
外	wkxb
宅	vab
纯	iq
熊	xd
汗	hhd
搭	daf
药	yjc
使	upr
感	glx
宫	gsb
双	ud
演	yl
木	my
粑	bam
班	bjd
赚	veb
货	hib
亿	yur
拼	pnf
嗨	hlk
其	qo
名	mu
类	lmm
棒	bg
王	wj
骑	qom
片	pnp
金	jnra
茶	is
处	iy
砸	zs
查	ism
光	gd
